"Country","Life_exptecancy_1820","Life_exptecancy_1920","Life_exptecancy_2020","Population_1820","Population_1920","Population_2020","Cumulative_share_1820","Cumulative_share_1920","Cumulative_share_2020"
"Lao",31.9,31.18,69.12,472695,1046704,7319399,0.417451246820347,0.346784773723858,0.18747001544999
"Myanmar",30.8,31.54,69.38,3571864,11923214,53423198,0.395387739402654,0.365876550372132,0.194292873240889
"Tajikistan",24.24,17.01,69.63,469206,1144984,9543207,0.00443566483637463,0.00178460948947731,0.195511668570778
"Bolivia",33,31.23,69.83,1097885,2354214,11936162,0.792475899169371,0.348243012544422,0.197036076298955
"Cambodia",35,38.53,70.02,2092839,2895102,16396860,0.814634999019272,0.732056968154816,0.199130174896297
"Azerbaijan",29.17,23.65,70.37,884820,2371595,10284951,0.280872379528571,0.0643017697954342,0.200443700867905
"Samoa",25.4,28.78,70.55,47139,39583,214929,0.00834294987902964,0.24551060629561,0.200471150179384
"Sudan",31.4,32.99,70.55,4135488,5388664,44440486,0.40811184183818,0.647382895878978,0.206146795357655
"Honduras",33.9,33.88,70.68,137489,785083,10121763,0.803415960524217,0.652131226012758,0.207439480036363
"Mauritania",32,37.43,70.68,380549,413307,4498604,0.772455921942385,0.722125924008023,0.208014012009338
"Sao Tome and Principe",31,28.93,70.72,22828,57306,218641,0.400231218098228,0.245540876511178,0.208041935392926
"Timor-Leste",28.95,37.4,70.72,138356,372111,1299995,0.27940397055485,0.721907606694201,0.208207962163054
"India",25.44,28.53,70.78,209843353,300639878,1396387127,0.200479465423958,0.2416568015464,0.386545297725856
"Turkmenistan",24,14.84,70.88,369243,912721,6250438,0.00400605100956557,0.000482118127660616,0.387343562359973
"Egypt",33,34.49,70.96,4179621,12731391,107465134,0.796302838663797,0.673330019051273,0.401068299070082
"Nepal",32.8,36.38,71.09,3893440,5360778,29348627,0.790749504531666,0.698269043577566,0.404816511754376
"Kazakhstan",26.2,19.67,71.17,2052556,4964613,18979243,0.255272227720442,0.00440702085518441,0.407240415242294
"Russia",29.57,20.5,71.17,32073923,77706431,145617329,0.323896041683494,0.047929517360772,0.425837698161554
"Indonesia",30,30,71.39,17236636,47304303,271857970,0.371464803431764,0.31039559407647,0.460557601463349
"Guatemala",25.8,26.33,71.46,600125,1663732,17362718,0.228045555140245,0.0702829300730278,0.462775053061389
"Philippines",30.9,31.04,71.8,2184052,9347641,112190977,0.399624920977292,0.338941935499874,0.477103343207799
"Bulgaria",36.68,44.23,71.85,2194738,5025707,6979175,0.900176090522526,0.787298822180239,0.477994677315555
"Iraq",31.2,43.05,72.09,1093040,3459608,42556984,0.403888925604185,0.78301638112126,0.483429774065877
"Belize",26.5,32.36,72.12,25533,46640,394921,0.256582340856441,0.630990043365145,0.483480210766084
"Bahamas",35.18,34.76,72.3,27363,60371,406471,0.825265760686663,0.674170937429646,0.483532122555961
"Suriname",32.9,34.04,72.4,80809,124719,607065,0.791365867049886,0.656452670888398,0.483609652885853
"Georgia",31.87,37,72.58,1078099,2662145,3765912,0.417018438399603,0.716056022652436,0.484090610278726
"Dominican Republic",29.9,34.92,72.66,91318,896843,10999664,0.355237693693042,0.675490075666897,0.485495414671374
"Oman",32.3,36.22,72.7,317994,421003,4543399,0.784309688437214,0.694926785716006,0.486075667565712
"Macedonia, FYR",36.1,34.89,72.83,393941,960798,2111072,0.852776798823609,0.674678450824013,0.48634527973012
"Kyrgyz Republic",23.94,16.32,72.93,533272,1320825,6424874,0.00366796518318557,0.00117980523682906,0.487165822177363
"Mexico",26.9,31.82,72.97,6524512,14579605,125998302,0.263545354342299,0.373577799565074,0.503257492624363
"Morocco",33.1,32.9,73,2686218,5772593,36688772,0.799524206207363,0.644257000914642,0.507943140119272
"St. Vincent and the Grenadines",25.99,27.17,73.01,25859,40525,104632,0.249214515825375,0.0707421783571599,0.507956503026831
"Tonga",28.2,29.28,73.03,18579,27259,105254,0.271655369887254,0.24573722512599,0.507969945372119
"Cape Verde",33.8,37.51,73.08,56072,158084,582640,0.803290073013328,0.722964658193793,0.508044356302429
"Ukraine",36.6,29.59,73.21,11277431,28263326,43909666,0.898166547185435,0.263981986672544,0.513652208658327
"North Korea",26,28,73.24,4346956,6800254,25867467,0.253269091883596,0.0804203241654109,0.516955830593348
"Moldova",33.15,31.45,73.32,716493,1784707,3084847,0.800180240656223,0.353637316980612,0.517349806865373
"Bhutan",28.8,33.88,73.33,391114,258029,772506,0.27600387056232,0.651716528919103,0.517448466226436
"Grenada",31.4,38.74,73.33,29477,66457,123663,0.404325311347515,0.732481010529137,0.517464259647545
"Belarus",36.2,31.35,73.46,2368088,6024473,9633740,0.854945064676775,0.351425263903711,0.518694617253888
"Brazil",32,30.99,73.58,4472454,27593186,213196304,0.421546309709925,0.334004318005631,0.545922640251265
"Seychelles",37,51.18,73.6,12548,28579,105530,0.900305974709404,0.840516152570727,0.54593611784545
"Palestine",32.1,35.68,73.64,165944,353234,5019401,0.778560250736564,0.689912278303447,0.546577162569476
"Ecuador",32.9,34.2,73.88,504965,1870163,17588595,0.791211859970545,0.662917995092432,0.548823461685203
"United Arab Emirates",30.7,38.58,73.95,40153,56883,9287289,0.392117273633074,0.732087014933027,0.550009572859416
"Armenia",34,28,73.99,415609,1038218,2805608,0.803796499931101,0.0809687324065531,0.550367886571766
"Romania",35.7,35.49,74.12,6389374,12403390,19442038,0.837953671458543,0.688640987882076,0.552850895178613
"Saudi Arabia",32.1,36.97,74.34,2091021,2331840,35997107,0.780474828840313,0.714649822550805,0.557448207790726
"Syria",31.1,34.15,74.37,1337016,2309054,20772595,0.401742793919485,0.660955510978987,0.560101146344366
"Brunei",29.2,33.6,74.43,2388,26970,441725,0.280874566026225,0.650167296159251,0.56015756054214
"Montenegro",35.4,38.51,74.43,127783,484521,629048,0.825782910416007,0.73052771534303,0.560237898395513
"Vietnam",32,32.16,74.51,6444528,18390657,96648685,0.778356652828303,0.63080929786166,0.572581229721961
"Argentina",33.2,51.16,74.61,530996,8818354,45036032,0.800666430567649,0.840501056551275,0.578332934099569
"Bangladesh",25.5,22.77,74.68,20085068,28623503,167420951,0.218869730947417,0.0630490442188678,0.599714831527166
"Trinidad and Tobago",32.9,39,74.82,58458,396002,1518147,0.791419392292716,0.732690186983705,0.599908719229034
"Lithuania",28.9,44.51,74.84,785594,2283303,2820267,0.279277289202476,0.788504910094555,0.600268905091988
"El Salvador",28.7,29.85,75.06,244089,1307019,6292731,0.273725507959801,0.273903731493872,0.601072571108563
"Venezuela",32.2,33.93,75.1,732079,3255672,28490453,0.784018527157856,0.656386791730623,0.604711183480988
"Malaysia",30.6,30.61,75.12,290582,3274070,33199993,0.392080508792071,0.317929345541142,0.608951267178297
"Serbia",35.5,34.05,75.15,2144598,3237697,7358005,0.827882883926606,0.658162889471703,0.60989098295008
"St. Lucia",28.01,27.94,75.21,24000,57376,179237,0.27163835860588,0.0707724855481774,0.609913873915198
"Bosnia and Herzegovina",35.1,34.95,75.36,854961,2134369,3318407,0.825240706609898,0.67661749355913,0.610337678926895
"Nicaragua",25.4,27.04,75.4,187802,769730,6755895,0.00829978852520647,0.0707207722131976,0.611200497188641
"Mauritius",28.7,31.19,75.53,87663,406448,1297828,0.273928973103337,0.346999467971883,0.611366247203851
"Libya",33.1,38.67,75.53,235594,679435,6653942,0.797064654550685,0.732445906565922,0.612216044702213
"Paraguay",35.5,34.95,75.71,148904,713685,6618695,0.825919249715306,0.67699447675108,0.613061340686671
"Hungary",36,41.97,75.81,4134289,7942153,9750573,0.851285867459057,0.751333177815298,0.614306619431661
"Latvia",33,47.71,75.86,596429,1860798,1897052,0.796848940259066,0.827033973608944,0.614548898376062
"Lebanon",29.7,29.46,76.16,332439,769131,5662923,0.354157147245233,0.247130304753596,0.615272129477087
"Iran",25.6,25.6,76.17,6560139,9455525,87290193,0.227496069417953,0.0693869689845876,0.626420256052721
"Jamaica",34.2,35.76,76.17,396810,873146,2820436,0.804554338369994,0.690373492096813,0.626780463499238
"Algeria",28.82,32.82,76.2,2686052,5846192,43451666,0.278557984580075,0.639720200986879,0.632329823121919
"Barbados",32.12,33.07,76.21,82573,158593,280693,0.780550434230102,0.647466667984824,0.632365671376864
"Qatar",30.8,34.7,76.22,14092,18241,2760385,0.396192348564615,0.673898704100516,0.632718209506519
"Antigua and Barbuda",33.54,33.75,76.25,37000,29765,92664,0.802151460769142,0.651580232659499,0.632730043940211
"Bahrain",30.3,34.7,76.34,64474,117143,1477469,0.373750870050725,0.673889068826684,0.632918736516748
"Slovak Republic",36.4,43.83,76.67,2145419,3081588,5456681,0.856909450611095,0.784644139698943,0.633615627752524
"Poland",35.9,46.45,76.7,10426570,23791651,38428366,0.847500434795313,0.824395459435126,0.638523444696666
"Jordan",31.7,37.06,76.93,217889,196295,10928721,0.414606082313107,0.716159709735202,0.639919188718194
"Panama",32.9,35.83,76.96,87391,460090,4294396,0.791291876811631,0.690616521159752,0.640467640594957
"Tunisia",6.5,31.42,76.97,876889,2337611,12161723,0.000802896039216817,0.352694597795601,0.64202085548339
"United States",39.41,55.48,76.99,9966626,103898175,335942003,0.971129019837253,0.955398847239874,0.684925147968071
"Sri Lanka",32.6,32.5,77.31,1241422,5500957,21715079,0.785677866453972,0.635522304820633,0.687698454349601
"Uruguay",32.9,32.69,77.35,55987,1392464,3429086,0.791470655041534,0.636570102421741,0.688136394551735
"Peru",35.7,33.1,77.38,1318957,4699402,33304756,0.832103440610996,0.649948989409843,0.692389857887057
"Estonia",43.39,46.36,77.65,336571,1105673,1329444,0.999108750410676,0.811828216834074,0.692559645688846
"China",32,32,77.67,380427133,463330522,1424929781,0.770588564130525,0.619924522712873,0.874542260390812
"Turkey",35,31.16,77.79,10105826,13800950,84135428,0.82388808312503,0.346231883001836,0.885287481229529
"Colombia",32,34.36,77.79,1230935,6275946,50930662,0.771715631337473,0.666536889002677,0.89179200879492
"Croatia",36.1,34.13,77.86,1234391,2977792,4096869,0.85241609904452,0.659735820853366,0.89231523382864
"Albania",35.4,34.59,77.9,437026,941221,2866849,0.825665909901028,0.67382719146895,0.892681368836787
"Thailand",30.4,31.5,78.45,4615037,9983580,71475664,0.390118075872615,0.358910850620081,0.901809768281952
"Czech Republic",34.95,49.85,78.46,5528637,9978000,10530953,0.812718756320574,0.832304559776894,0.903154712003248
"Cuba",35.04,40.65,78.7,622317,3069258,11300698,0.82445788825936,0.746845053953477,0.904597962468933
"Costa Rica",30.21,35.65,78.94,63498,459026,5123105,0.371743246766223,0.689725692791877,0.905252251582491
"Chile",32,30.35,79.1,782013,4044201,19300315,0.422262335501463,0.314462923064849,0.907717160264382
"Maldives",32.65,31.4,79.11,42528,65426,514438,0.786643033947667,0.351459823271383,0.907782860885978
"United Kingdom",41.31,56.69,79.41,20706854,46564792,67059474,0.997741361657309,0.987391884737442,0.916347253729598
"Belgium",40.16,53.8,80.2,3446611,7551028,11561717,0.976420021863035,0.898279183936033,0.917823839816969
"Taiwan",28.3,29.49,80.37,2016828,3639403,23821464,0.273502015486619,0.249052712762355,0.920866159770241
"Slovenia",36.6,36.6,80.41,472152,1112809,2117641,0.887840719535139,0.701187200432306,0.921136610883916
"Greece",36.6,46.18,80.43,2322933,5771532,10512232,0.887408408295394,0.811080598078355,0.922479163682814
"Cyprus",38.5,46.31,80.81,184793,309680,1237537,0.932591589397247,0.811244177465456,0.922637213729948
"Portugal",35.6,35.88,80.92,3290556,6054309,10298192,0.83089577880751,0.693814532511917,0.923952430754571
"Germany",38.37,53.3,81,24844857,63273356,83328988,0.932422389455435,0.894290574622482,0.934594658406004
"Netherlands",39.86,57.91,81.04,2331997,6834137,17434557,0.973264240092913,0.99271397189565,0.936821284806361
"Ireland",38.3,56.27,81.06,7079278,4192107,4946119,0.909673971719316,0.9576132049437,0.937452970437646
"Kuwait",26,30.46,81.18,81280,114746,4360444,0.249288937320076,0.31452353427756,0.938009857528478
"Denmark",43.14,57.72,81.23,1156833,3241362,5825641,0.998800579681182,0.989104039249621,0.93875386989711
"Austria",34.4,50.17,81.47,3367266,6486069,8907777,0.807637470367761,0.835730635699501,0.939891512306762
"Spain",29.5,39.28,81.49,12230231,21275357,47363807,0.29452855533249,0.743928271000783,0.945940504723813
"Canada",39.03,56.69,81.49,822390,8571309,37888705,0.933344585128396,0.962795397602879,0.95077939973149
"New Zealand",34.05,56.48,81.82,102141,1239349,5061133,0.804191011680617,0.958267854742924,0.951425774190762
"Italy",29.69,45.57,81.9,20217832,36967588,59500579,0.342407868419091,0.808031955391736,0.95902479491942
"Israel",32,34.76,81.95,209954,455007,8757489,0.772107484130042,0.674139048217625,0.96014324353892
"Finland",37.29,47.67,81.97,1166867,3134300,5529468,0.901374380052148,0.826051061582471,0.960849430649308
"Luxembourg",36.9,55.21,82.02,129306,269864,630399,0.900294485524912,0.900517680269513,0.960929941043473
"Sweden",40.23,58.92,82.03,2579409,5876734,10368969,0.978781777193095,0.995818184456596,0.962254197238792
"France",39.21,51.96,82.17,31299931,38529587,64480053,0.962003389866121,0.860868278076743,0.970489163478901
"Malta",28.7,50.24,82.27,134553,212759,515358,0.273848707213942,0.83584301940791,0.970554981596817
"South Korea",25.8,28,82.79,9397978,11464533,51844690,0.249190838839259,0.0768282892214394,0.977176242777836
"Australia",34.05,60.72,82.91,328728,5274343,25670051,0.804097489462478,1,0.980454652045999
"Switzerland",38,54.42,83.18,1985184,3870407,8638613,0.903192051810736,0.900323613039915,0.981557918608395
"Norway",46.96,59.05,83.21,973385,2642453,5379839,1,0.997213982836157,0.982244996091756
"Iceland",36.56,54.82,83.98,61291,97534,366669,0.885281487208385,0.900375132517897,0.982291824633232
"Hong Kong, China",34.9,34.9,84.45,20928,639683,7500958,0.807656632437656,0.675016344627548,0.983249797417443
"Japan",36.41,42.25,84.74,30925444,56328237,125244761,0.885225368017542,0.781188944553679,0.999245230587846
"Singapore",30.08,33.5,84.89,30381,386317,5909869,0.371492620846018,0.650153050046908,1
